Extracting commit stats ...
  progress: 1/34748 commits walked (0.0%)
  progress: 201/34748 commits walked (0.6%)
  progress: 401/34748 commits walked (1.2%)
  progress: 601/34748 commits walked (1.7%)
  progress: 801/34748 commits walked (2.3%)
  progress: 1001/34748 commits walked (2.9%)
  progress: 1201/34748 commits walked (3.5%)
  progress: 1401/34748 commits walked (4.0%)
  progress: 1601/34748 commits walked (4.6%)
  progress: 1801/34748 commits walked (5.2%)
  progress: 2001/34748 commits walked (5.8%)
  progress: 2201/34748 commits walked (6.3%)
  progress: 2401/34748 commits walked (6.9%)
  progress: 2601/34748 commits walked (7.5%)
  progress: 2801/34748 commits walked (8.1%)
  progress: 3001/34748 commits walked (8.6%)
  progress: 3201/34748 commits walked (9.2%)
  progress: 3401/34748 commits walked (9.8%)
  progress: 3601/34748 commits walked (10.4%)
  progress: 3801/34748 commits walked (10.9%)
  progress: 4001/34748 commits walked (11.5%)
  progress: 4201/34748 commits walked (12.1%)
  progress: 4401/34748 commits walked (12.7%)
  progress: 4601/34748 commits walked (13.2%)
  progress: 4801/34748 commits walked (13.8%)
  progress: 5001/34748 commits walked (14.4%)
  progress: 5201/34748 commits walked (15.0%)
  progress: 5401/34748 commits walked (15.5%)
  progress: 5601/34748 commits walked (16.1%)
  progress: 5801/34748 commits walked (16.7%)
  progress: 6001/34748 commits walked (17.3%)
  progress: 6201/34748 commits walked (17.8%)
  progress: 6401/34748 commits walked (18.4%)
  progress: 6601/34748 commits walked (19.0%)
  progress: 6801/34748 commits walked (19.6%)
  progress: 7001/34748 commits walked (20.1%)
  progress: 7201/34748 commits walked (20.7%)
  progress: 7401/34748 commits walked (21.3%)
  progress: 7601/34748 commits walked (21.9%)
  progress: 7801/34748 commits walked (22.5%)
  progress: 8001/34748 commits walked (23.0%)
  progress: 8201/34748 commits walked (23.6%)
  progress: 8401/34748 commits walked (24.2%)
  progress: 8601/34748 commits walked (24.8%)
  progress: 8801/34748 commits walked (25.3%)
  progress: 9001/34748 commits walked (25.9%)
  progress: 9201/34748 commits walked (26.5%)
  progress: 9401/34748 commits walked (27.1%)
  progress: 9601/34748 commits walked (27.6%)
